date,produit,qte,prix,pays
2011-01-07,Lunch Bag Woodland,10,1.65,Royaume-Uni
2011-01-10,Postage,1,18.0,Allemagne
2011-01-20,Jumbo Bag Strawberry,10,1.95,Belgique
2011-03-10,Lunch Bag Woodland,10,1.65,Irlande
2011-03-21,Lunch Bag Cars Blue,1,1.65,France
2011-05-03,Doormat New England,2,7.95,Irlande
2011-05-08,Lunch Bag Apple Design,10,1.65,Royaume-Uni
2011-05-17,Piggy Bank Retrospot,12,2.55,Royaume-Uni
2011-06-02,Fairy Soap Soap Holder,2,1.69,Allemagne
2011-06-19,Local Cafe Mug,6,2.1,Royaume-Uni
2011-07-28,Vintage Snap Cards,288,0.58,Royaume-Uni
2011-08-17,Swallows Greeting Card,12,0.42,Royaume-Uni
2011-09-02,Spaceboy Birthday Card,12,0.42,Allemagne
2011-09-19,Jumbo Bag Pears,10,2.08,Royaume-Uni
2011-10-06,Pink  Polkadot Plate,24,1.69,Allemagne
2011-10-10,Dog Licence Wall Art,4,5.95,Royaume-Uni
2011-10-17,Doormat Hearts,6,8.25,Irlande
2011-11-11,Hand Warmer Owl Design,12,2.1,Irlande
2011-11-11,Green Polkadot Bowl,8,1.25,Allemagne
2011-11-18,Heart Of Wicker Small,24,1.65,Royaume-Uni
