client_id,pays,segment,date_insc
12347,Autre,premium,2010-11-01
12348,Finlande,premium,2010-02-10
12352,Norvege,premium,2010-05-30
12353,Autre,occasionnel,2010-11-24
12358,Autriche,standard,2011-01-20
12360,Autriche,premium,2010-06-14
12361,Belgique,occasionnel,2011-01-21
12362,Belgique,premium,2010-05-14
12370,Chypre,premium,2010-09-24
12371,Suisse,premium,2011-09-03
12373,Autriche,occasionnel,2010-07-05
12374,Autriche,standard,2010-10-20
12377,Suisse,premium,2010-03-01
12378,Suisse,premium,2010-10-02
12380,Belgique,premium,2010-08-24
12384,Suisse,standard,2010-09-30
12388,Australie,premium,2010-06-26
12390,Belgique,standard,2011-07-31
12395,Belgique,premium,2010-01-01
12397,Belgique,premium,2011-01-28
12398,Suisse,premium,2011-04-08
12399,Belgique,standard,2010-10-26
12401,Belgique,occasionnel,2010-11-28
12402,Belgique,occasionnel,2010-01-15
12403,Danemark,occasionnel,2010-12-13
12405,Finlande,premium,2010-10-30
12407,Belgique,premium,2010-10-10
12409,Suisse,premium,2010-07-16
12413,France,standard,2010-06-02
12414,Autriche,standard,2010-08-09
12417,Belgique,premium,2010-06-20
12418,Suisse,standard,2011-05-20
12420,Chypre,standard,2011-08-31
12421,Espagne,standard,2010-06-16
12422,Australie,standard,2010-01-29
12423,Belgique,premium,2010-11-25
12425,Portugal,standard,2010-10-14
12426,Allemagne,standard,2010-07-02
12427,Allemagne,standard,2010-08-14
12429,Danemark,premium,2010-03-31
12430,Norvege,occasionnel,2011-08-22
12435,Danemark,premium,2010-05-18
12437,France,premium,2010-04-07
12438,Norvege,premium,2011-03-02
12442,Espagne,occasionnel,2011-11-08
12445,Espagne,occasionnel,2010-10-25
12447,Belgique,occasionnel,2010-10-14
12449,Belgique,premium,2010-06-13
12450,Espagne,occasionnel,2010-09-21
12451,Suisse,premium,2010-03-14
12454,Espagne,premium,2010-12-14
12455,Chypre,premium,2010-11-30
12456,Suisse,premium,2010-11-04
12457,Suisse,premium,2010-10-09
12458,Suisse,standard,2010-08-13
12461,Suisse,standard,2011-06-20
12463,Belgique,standard,2010-09-05
12465,Belgique,standard,2011-04-22
12471,Allemagne,premium,2010-02-16
12473,Allemagne,premium,2010-09-01
12474,Allemagne,premium,2010-01-10
12475,Allemagne,standard,2010-12-23
12476,Allemagne,premium,2010-07-19
12477,Allemagne,premium,2010-01-20
12479,Allemagne,standard,2011-06-17
12483,Suede,premium,2010-08-26
12484,Espagne,premium,2010-01-10
12488,France,standard,2011-04-30
12490,France,premium,2010-12-14
12494,France,standard,2010-06-04
12498,Allemagne,occasionnel,2010-11-29
12500,Allemagne,premium,2010-10-26
12501,Allemagne,premium,2010-07-06
12504,Allemagne,occasionnel,2011-09-18
12507,Espagne,standard,2010-05-16
12509,France,occasionnel,2010-08-22
12510,Espagne,standard,2010-09-08
12512,Autre,occasionnel,2011-07-05
12514,Italie,standard,2010-08-03
