date,cmd_id,prod_id,qte,prix,client_id
2010-12-01 08:45,536370,22728,24,3.75,12583
2010-12-01 08:45,536370,22727,24,3.75,12583
2010-12-01 08:45,536370,22726,12,3.75,12583
2010-12-01 08:45,536370,21724,12,0.85,12583
2010-12-01 08:45,536370,21883,24,0.65,12583
2010-12-01 08:45,536370,10002,48,0.85,12583
2010-12-01 08:45,536370,21791,24,1.25,12583
2010-12-01 08:45,536370,21035,18,2.95,12583
2010-12-01 08:45,536370,22326,24,2.95,12583
2010-12-01 08:45,536370,22629,24,1.95,12583
2010-12-01 08:45,536370,22659,24,1.95,12583
2010-12-01 08:45,536370,22631,24,1.95,12583
2010-12-01 08:45,536370,22661,20,0.85,12583
2010-12-01 08:45,536370,21731,24,1.65,12583
2010-12-01 08:45,536370,22900,24,2.95,12583
2010-12-01 08:45,536370,21913,12,3.75,12583
2010-12-01 08:45,536370,22540,24,0.42,12583
2010-12-01 08:45,536370,22544,24,0.42,12583
2010-12-01 08:45,536370,22492,36,0.65,12583
2010-12-01 08:45,536370,POST,3,18.0,12583
2010-12-01 12:58,536526,21135,16,1.69,14001
2010-12-01 12:58,536526,22173,16,2.95,14001
2010-12-01 12:58,536526,22626,2,8.5,14001
2010-12-01 12:58,536526,22625,6,8.5,14001
2010-12-01 12:58,536526,22624,6,8.5,14001
2010-12-01 12:58,536526,21929,20,1.95,14001
2010-12-01 12:58,536526,85099B,10,1.95,14001
2010-12-01 12:58,536526,22411,10,1.95,14001
2010-12-01 12:58,536526,22113,8,3.75,14001
2010-12-01 13:20,536529,22222,3,4.95,14237
2010-12-01 13:20,536529,22947,2,16.95,14237
2010-12-01 13:20,536529,21743,6,2.95,14237
2010-12-01 13:20,536529,22187,4,4.25,14237
2010-12-01 13:20,536529,22164,6,2.95,14237
2010-12-01 13:20,536529,72598,12,0.85,14237
2010-12-01 13:20,536529,21258,1,12.75,14237
2010-12-01 13:20,536529,22627,2,8.5,14237
2010-12-01 13:20,536529,22487,2,9.95,14237
2010-12-01 14:05,536540,22968,4,9.95,14911
2010-12-01 14:05,536540,85071A,6,2.95,14911
2010-12-01 14:05,536540,85071C,6,2.55,14911
2010-12-01 14:05,536540,22355,50,0.85,14911
2010-12-01 14:05,536540,21579,6,2.25,14911
2010-12-01 14:05,536540,21576,6,2.25,14911
2010-12-01 14:05,536540,22147,12,1.45,14911
2010-12-01 14:05,536540,22150,12,1.95,14911
2010-12-01 14:05,536540,22492,36,0.65,14911
2010-12-01 14:05,536540,22493,24,1.65,14911
2010-12-01 14:05,536540,21833,12,1.69,14911
2010-12-01 14:05,536540,85135B,2,7.95,14911
2010-12-01 14:05,536540,85136A,2,7.95,14911
2010-12-01 14:05,536540,85136C,2,7.95,14911
2010-12-01 14:05,536540,21055,4,8.95,14911
2010-12-01 14:05,536540,21056,4,8.95,14911
2010-12-01 14:05,536540,21889,24,1.25,14911
2010-12-01 14:05,536540,21891,12,1.25,14911
2010-12-01 14:05,536540,22622,6,9.95,14911
2010-12-01 14:05,536540,C2,1,50.0,14911
2010-12-01 14:05,536541,21915,12,1.25,14911
2010-12-01 15:08,536562,21777,2,7.95,13468
2010-12-01 15:08,536562,79302M,6,2.95,13468
2010-12-01 15:08,536562,22752,2,8.5,13468
2010-12-01 15:08,536562,21609,6,2.95,13468
2010-12-01 15:08,536562,20685,2,7.95,13468
2010-12-01 15:08,536562,48185,2,7.95,13468
2010-12-01 15:08,536562,48194,2,7.95,13468
2010-12-01 15:08,536562,22423,2,12.75,13468
2010-12-01 15:08,536562,37446,8,1.45,13468
2010-12-01 15:08,536562,37449,2,9.95,13468
2010-12-01 15:08,536562,21231,12,1.25,13468
2010-12-01 15:08,536562,21232,12,1.25,13468
2010-12-01 15:08,536562,84509B,4,3.75,13468
2010-12-01 15:08,536562,22313,6,2.95,13468
2010-12-01 15:08,536562,22314,6,2.95,13468
2010-12-01 15:08,536562,21181,12,2.1,13468
2010-12-01 15:08,536562,72741,9,1.45,13468
2010-12-01 15:08,536562,22187,4,4.25,13468
2010-12-01 15:08,536564,37446,8,1.45,13468
2010-12-01 15:08,536564,37449,4,9.95,13468
2010-12-01 16:21,536582,21668,12,1.25,12947
2010-12-01 16:21,536582,21672,12,1.25,12947
2010-12-01 16:21,536582,22771,24,1.25,12947
2010-12-01 16:21,536582,22530,24,0.42,12947
2010-12-01 16:21,536582,22534,24,0.42,12947
2010-12-01 16:21,536582,21374,4,3.75,12947
2010-12-01 16:21,536582,21365,6,2.95,12947
2010-12-01 16:21,536582,21479,8,3.75,12947
2010-12-01 16:21,536582,21481,6,2.95,12947
2010-12-01 16:21,536582,84032A,6,2.95,12947
2010-12-01 16:21,536582,84031A,6,4.65,12947
2010-12-01 16:21,536582,21509,12,0.42,12947
2010-12-01 16:21,536582,22025,12,0.42,12947
2010-12-01 16:21,536582,22650,12,1.45,12947
2010-12-01 16:21,536582,22637,12,2.55,12947
2010-12-01 16:21,536582,22634,2,9.95,12947
2010-12-01 16:21,536582,22635,2,9.95,12947
2010-12-02 10:17,536617,21356,12,1.25,13941
2010-12-02 10:17,536617,21354,12,1.25,13941
2010-12-02 10:17,536617,79321,24,4.25,13941
2010-12-02 10:17,536617,72741,144,1.25,13941
2010-12-02 10:17,536617,22179,24,5.95,13941
2010-12-02 10:17,536617,85116,96,0.65,13941
2010-12-02 10:17,536617,21125,12,1.25,13941
2010-12-02 10:17,536617,85175,96,0.42,13941
2010-12-02 10:17,536617,79302M,20,2.55,13941
2010-12-02 10:17,536617,20893,108,2.1,13941
2010-12-02 10:17,536617,21743,96,2.55,13941
2010-12-02 12:28,536698,21731,12,1.65,15363
2010-12-02 12:28,536698,85135B,2,7.95,15363
