date,cmd_id,prod_id,qte,prix,client_id,categorie
24/11/2011,578541,21430,3,"3,75",14277.0, jardin
21/07/2011,560876,22816,12,"0,42 EUR",12626.0,papeterie
21/09/2011,567526,21915,240,"1,06",12435.0,DECO
14-11-2011,576345,22739,10,"1,65",12374.0,DECO
11-03-2011,546328,M,1,"1687,17",14911.0,DIVERS
29-11-2011,579401,23319,4,"2,49",14550.0,deco
08-12-2011,581218,23583,10,"1,65",14191.0, sac
01/06/2011,555263,21239,8,"0,85",,cuisine
21/06/2011,557525,21207,12,"1,65",12759.0,deco
31/01/2011,542737,20846,6,"1,25",15058.0,deco
07-12-2011,581034,23203,10,"2,08",17049.0, sac
06/12/2010,537418,84029E,1,"3,75",17884.0, deco
17/10/2011,571328,22402,12,"0,39",12473.0,deco
26-09-2011,568310,23366,16,"0,65 EUR",14911.0, papeterie
10-06-2011,556415,22553,96,"1,45",12409.0, cuisine
07/04/2011,549274,20726,10,"1,65",12721.0, sac
25/02/2011,545019,22029,24,"0,42",15093.0, papeterie
17/08/2011,563540,POST,5,"18,00",12473.0, divers
16-12-2010,539084,84836,12,"1,25",13890.0,deco
15-02-2011,544074,85059,1,"3,75",14156.0,DIVERS
06/12/2011,580734,20725,20,"1,65",12766.0,SAC
28/07/2011,561645,23307,24,"0,55 EUR",14911.0,cuisine
07/02/2011,543357,22087,6,"2,95",12388.0,papeterie
08/12/2010,537674,20724,10,"0,85",15628.0,SAC
25-03-2011,547795,84840,1,"8,50 EUR",,deco
14/07/2011,559928,21975,48,"0,55 EUR",12405.0, cuisine
14/11/2011,576327,23497,12,"1,45",12476.0, divers
17/10/2011,571446,22192,12,"7,65",14911.0, deco
02/08/2011,562046,22930,6,"2,55",12378.0,cuisine
11-09-2011,566233,23323,6,"2,10",12635.0, deco
01-03-2011,545314,21537,8,"4,25",12866.0,CUISINE
11/07/2011,559654,23051,6,"8,25",13098.0, divers
13-10-2011,570983,21880,2,"0,65 EUR",14963.0, divers
02/10/2011,569220,22086,4,"2,95",16007.0, papeterie
10/10/2011,570452,23298,3,"4,95",12427.0, cuisine
30/06/2011,558626,23180,4,"4,95",12569.0, cuisine
30/06/2011,558567,21929,10,"2,08",14191.0,sac
21/08/2011,563926,21219,10,"1,25 EUR",12553.0,jouet
02/12/2010,C536828,22832,-1,"10,75",,divers
15-02-2011,544075,22502,24,"4,95",14156.0,DECO
03-05-2011,551652,21213,48,"0,42",12643.0, cuisine
26/07/2011,561332,48194,6,"7,95",13492.0,deco
10/04/2011,549560,22917,1,"0,65 EUR",15058.0, jardin
07-09-2011,565801,22962,12,"0,85",12685.0, cuisine
09-12-2010,538003,22326,12,"2,95 EUR",12429.0,deco
10-10-2011,570272,22732,18,"1,25",14297.0,PAPETERIE
13/01/2011,541018,21985,24,"0,29 EUR",14978.0,deco
12-10-2011,570806,16161U,25,"0,42",13115.0,papeterie
15/02/2011,544074,85014B,2,"5,95",14156.0, jardin
05-09-2011,565618,23332,12,"1,65",15974.0, deco
24/08/2011,564316,21790,12,"0,85 EUR",13985.0, papeterie
26/07/2011,561332,22690,2,"7,95",13492.0,deco
19/05/2011,553901,22699,12,"2,95 EUR",14911.0, cuisine
02/08/2011,562042,23297,36,"1,65 EUR",13075.0,deco
18/08/2011,563709,85199S,6,"0,42",15472.0,jardin
19-06-2011,557314,21242,16,"1,69",12541.0,cuisine
28/03/2011,547947,20713,100,"1,65",15032.0,sac
07/01/2011,540469,22507,2,"4,95 EUR",12484.0,DECO
22/11/2011,578033,22941,4,"8,50",12656.0,DECO
01/12/2011,580137,21166,4,"2,08",17566.0,deco
07-12-2011,581179,23474,24,"0,83",12471.0,deco
05/12/2011,580640,23332,2,"1,65",16910.0,deco
20/04/2011,550778,22728,4,"3,75",14868.0,DECO
03-10-2011,569336,23092,4,"7,90",15088.0, deco
09/09/2011,566173,22028,24,"0,42",12787.0, papeterie
11-03-2011,546373,22729,4,"3,75",12583.0, deco
11-07-2011,559674,21175,12,"2,55",15856.0,deco
08-06-2011,556071,84692,25,"0,42",15974.0, jardin
11/02/2011,543733,85232A,3,"4,95",12395.0,CUISINE
01-06-2011,555263,22547,24,"0,42",15192.0,jouet
22-12-2010,539829,22222,24,"1,95",12734.0,CUISINE
04/09/2011,565444,23075,2,"4,15",17894.0, deco
02/12/2011,580153,22948,48,"0,85",12762.0, deco
03/12/2010,C536850,22942,-48,"7,65",14213.0,divers
10/10/2011,570388,23342,2,"8,50",14911.0,DECO
29/09/2011,568782,23254,8,"4,15",13985.0,CUISINE
08-07-2011,559372,84879,8,"1,69",12461.0, jardin
28-09-2011,568650,22863,8,"2,95",13505.0, divers
22-09-2011,567899,22139,3,"4,95 EUR",14911.0,CUISINE
23-09-2011,568095,90201B,6,"2,95",14911.0,BIJOU
05-09-2011,565475,21874,72,"1,06",14156.0,CUISINE
02/12/2010,C536760,22273,-3,"2,95",17547.0,divers
14-09-2011,566734,20974,2,"0,65",16910.0,papeterie
14/11/2011,576300,15056BL,2,"5,95",15058.0, jardin
08/03/2011,545918,22605,4,"12,75",16917.0, jardin
07-01-2011,540458,22652,10,"1,65",12501.0, divers
07/09/2011,565865,22728,12,"3,75",12637.0,DECO
