vente_id,date,prix,rue,arrondissement,surface,pieces,longitude,latitude,prix_m2,annee
2023-1322169,2023-01-02,895000.0,RUE HELENE,17,89.0,3,2.32544,48.88638,10056.18,2023
2023-1322271,2023-01-02,468000.0,BD MALESHERBES,8,60.0,2,2.31396,48.88026,7800.0,2023
2023-1341110,2023-01-02,1245161.4,RUE VINEUSE,16,70.0,3,2.28571,48.86078,17788.02,2023
2023-1341258,2023-01-02,276000.0,RUE DULAC,15,27.0,2,2.31512,48.84358,10222.22,2023
2023-1322044,2023-01-03,295000.0,RUE EMILE LEVEL,17,28.0,2,2.31842,48.89308,10535.71,2023
2023-1322045,2023-01-03,300400.0,BD BARBES,18,36.0,2,2.34916,48.89119,8344.44,2023
2023-1322062,2023-01-03,730000.0,RUE CHAMPIONNET,18,79.0,4,2.33172,48.8944,9240.51,2023
2023-1322080,2023-01-03,405000.0,BD ROCHECHOUART,18,31.0,1,2.34138,48.8826,13064.52,2023
2023-1322082,2023-01-03,209100.0,AV JEAN JAURES,19,25.0,1,2.37778,48.88443,8364.0,2023
2023-1322121,2023-01-03,112000.0,RUE CHAMPIONNET,18,19.0,1,2.34025,48.89561,5894.74,2023
2023-1322133,2023-01-03,290000.0,CRS DE VINCENNES,20,32.0,2,2.4036,48.84836,9062.5,2023
2023-1322159,2023-01-03,569700.0,RUE DES TROIS FRERES,18,44.0,3,2.34132,48.88471,12947.73,2023
2023-1322193,2023-01-03,394650.0,RUE LOUIS BLANC,10,43.0,2,2.36389,48.88164,9177.91,2023
2023-1322223,2023-01-03,362900.0,RUE DU TEMPLE,4,30.0,2,2.35331,48.85804,12096.67,2023
2023-1322259,2023-01-03,347720.0,BD DE LA VILLETTE,19,44.0,2,2.37105,48.88139,7902.73,2023
2023-1322268,2023-01-03,276550.0,RUE DES ROSES,18,31.0,1,2.36116,48.89311,8920.97,2023
2023-1322289,2023-01-03,300000.0,RUE MARSOLLIER,2,38.0,2,2.33503,48.86842,7894.74,2023
2023-1322297,2023-01-03,1048884.0,AV SIMON BOLIVAR,19,77.0,3,2.38367,48.87493,13621.87,2023
2023-1322337,2023-01-03,724250.0,RUE LEGENDRE,17,60.0,4,2.31927,48.88691,12070.83,2023
2023-1322380,2023-01-03,185000.0,PAS GAUTHIER,19,12.0,1,2.38128,48.87549,15416.67,2023
2023-1322492,2023-01-03,320000.0,IMP STE HENRIETTE,18,35.0,2,2.34301,48.89679,9142.86,2023
2023-1322686,2023-01-03,350000.0,RUE DES ABBESSES,18,42.0,2,2.33623,48.88518,8333.33,2023
2023-1322690,2023-01-03,493200.0,RUE DU DOBROPOL,17,45.0,1,2.2861,48.88313,10960.0,2023
2023-1322956,2023-01-03,545252.0,RUE DE PROVENCE,9,45.0,2,2.34186,48.8742,12116.71,2023
2023-1323128,2023-01-03,578000.0,RUE JACQUEMONT,17,45.0,3,2.32198,48.88813,12844.44,2023
2023-1340981,2023-01-03,258697.0,BD DU MONTPARNASSE,6,14.0,1,2.32213,48.84481,18478.36,2023
2023-1340984,2023-01-03,275600.0,RUE DE LA GAITE,14,29.0,2,2.32415,48.83997,9503.45,2023
2023-1340985,2023-01-03,625000.0,RUE DES VOLONTAIRES,15,55.0,3,2.30716,48.84199,11363.64,2023
2023-1340987,2023-01-03,390649.0,RUE VOLTAIRE,11,45.0,3,2.39104,48.85235,8681.09,2023
2023-1340990,2023-01-03,452000.0,RUE SAINT AMAND,15,40.0,2,2.3076,48.83603,11300.0,2023
2023-1340991,2023-01-03,980000.0,RUE DU FAUBOURG DU TEMPLE,11,83.0,3,2.3702,48.86929,11807.23,2023
2023-1340993,2023-01-03,370000.0,CITE DES TROIS BORNES,11,27.0,2,2.37144,48.86747,13703.7,2023
2023-1340998,2023-01-03,1350253.0,RUE DE SEINE,6,65.0,2,2.33627,48.85588,20773.12,2023
2023-1341009,2023-01-03,766890.0,RUE DU LOIRET,13,65.0,2,2.37845,48.8258,11798.31,2023
2023-1341011,2023-01-03,565000.0,RUE DU FBG ST ANTOINE,12,45.0,2,2.3731,48.85172,12555.56,2023
2023-1341020,2023-01-03,214000.0,RUE VOLTAIRE,11,35.0,2,2.39185,48.85252,6114.29,2023
2023-1341024,2023-01-03,465000.0,RUE TOURNEFORT,5,28.0,2,2.34786,48.84249,16607.14,2023
2023-1341035,2023-01-03,2174320.0,RUE ALFRED BRUNEAU,16,130.0,5,2.27728,48.8555,16725.54,2023
2023-1341041,2023-01-03,209000.0,IMP POPINCOURT,11,23.0,2,2.37688,48.85911,9086.96,2023
2023-1341062,2023-01-03,900000.0,RUE DU FAUBOURG DU TEMPLE,11,78.0,3,2.3702,48.86929,11538.46,2023
2023-1341077,2023-01-03,220000.0,RUE DU FBG ST ANTOINE,11,32.0,1,2.38246,48.85076,6875.0,2023
2023-1341080,2023-01-03,1680000.0,RUE DOCTEUR BLANCHE,16,125.0,5,2.26644,48.85493,13440.0,2023
2023-1341083,2023-01-03,642150.0,BD DE MENILMONTANT,11,58.0,3,2.38795,48.86034,11071.55,2023
2023-1341095,2023-01-03,270000.0,RUE EDOUARD MANET,13,28.0,2,2.35761,48.83273,9642.86,2023
2023-1341143,2023-01-03,720000.0,RUE CHALGRIN,16,78.0,2,2.28895,48.87436,9230.77,2023
