vente_id,date,prix,rue,arrondissement,surface,pieces,longitude,latitude,prix_m2
2024-1193234,2024-01-02,4500000.0,AV MONTAIGNE,8,162.0,3,2.3045,48.86563,27777.78
2024-1193287,2024-01-02,105000.0,RUE BERZELIUS,17,14.0,1,2.31811,48.89249,7500.0
2024-1193319,2024-01-02,50000.0,RUE JEAN BAPTISTE DUMAY,20,11.0,1,2.38809,48.87412,4545.45
2024-1193504,2024-01-02,590000.0,RUE JUSTE METIVIER,18,60.0,3,2.33537,48.88919,9833.33
2024-1193876,2024-01-02,270000.0,ALL DES EIDERS,19,42.0,2,2.37882,48.89379,6428.57
2024-1210550,2024-01-02,1750000.0,RUE OCTAVE FEUILLET,16,135.0,5,2.2714,48.86208,12962.96
2024-1210580,2024-01-02,177000.0,RUE AUGUSTE CHABRIERES,15,17.0,1,2.28895,48.83491,10411.76
2024-1210584,2024-01-02,589300.0,RUE TITON,11,51.0,2,2.38646,48.85286,11554.9
2024-1210643,2024-01-02,1145130.0,AV DE SUFFREN,15,83.0,3,2.29278,48.85501,13796.75
2024-1210965,2024-01-02,860000.0,BD VOLTAIRE,11,68.0,3,2.37385,48.86092,12647.06
2024-1210973,2024-01-02,158150.0,AV PARMENTIER,11,13.0,1,2.37575,48.86313,12165.38
2024-1211193,2024-01-02,1620000.0,BD RASPAIL,14,114.0,5,2.32964,48.8402,14210.53
2024-1193220,2024-01-03,426471.0,AV PARMENTIER,10,42.0,1,2.37028,48.87153,10154.07
2024-1193225,2024-01-03,392000.0,RUE ARTHUR ROZIER,19,40.0,2,2.39131,48.87874,9800.0
2024-1193226,2024-01-03,160000.0,AV DE CLICHY,17,22.0,2,2.32639,48.88467,7272.73
2024-1193235,2024-01-03,275000.0,BD DU PALAIS,4,10.0,1,2.34607,48.85511,27500.0
2024-1193237,2024-01-03,447000.0,PL DU MARCHE ST HONORE,1,33.0,2,2.33167,48.86631,13545.45
2024-1193253,2024-01-03,690000.0,RUE DE POITOU,3,70.0,4,2.36269,48.86142,9857.14
2024-1193298,2024-01-03,400000.0,AV CLAUDE VELLEFAUX,10,40.0,2,2.37073,48.87562,10000.0
2024-1193304,2024-01-03,519000.0,RUE SIMART,18,71.0,2,2.34816,48.89086,7309.86
2024-1193306,2024-01-03,400000.0,RUE HERMEL,18,35.0,2,2.34403,48.89134,11428.57
2024-1193349,2024-01-03,608000.0,ALL LOUISE LABE,19,85.0,4,2.37798,48.87523,7152.94
2024-1193429,2024-01-03,1450000.0,VOIE E18,18,75.0,4,2.33558,48.88787,19333.33
2024-1193437,2024-01-03,221000.0,RUE DE MONTMORENCY,3,20.0,1,2.35389,48.86362,11050.0
2024-1193483,2024-01-03,260000.0,RUE BERZELIUS,17,28.0,2,2.31872,48.89262,9285.71
