vente_id,date,prix,rue,arrondissement,type_local,surface,pieces,longitude,latitude
2024-1212353,16/02/2024,"550760,00",RUE DES BERGERS,15,DÉPENDANCE,,0.0,2.28001,48.84196
2024-1193666,05/01/2024,"575900,00",RUE ETIENNE DOLET,20, Dépendance,,0.0,2.38314,48.86761
2024-1209395,12.12.2024,"167500,00",RUE REBEVAL,19,Dépendance,,0.0,2.38179,48.87382
2024-1208986,10.12.2024,"500000,00 €",RUE CADET,9,Appartement ,47.0,2.0,2.34347,48.87529
2024-1196753,21/03/2024,"50000,00",BD SAINT MARTIN,3, Dépendance,,0.0,2.35828,48.86823
2024-1204608,12/09/2024,"1380000,00",PAS LEPIC,18, Dépendance,,0.0,2.33443,48.88474
2024-1196864,04/04/2024,"1100000,00",RUE SAINT LAURENT,10, Local industriel. commercial ou assimilé,132.0,0.0,2.35728,48.87566
2024-1221583,31.07.2024,"346000,00",RUE GUENEGAUD,6,Appartement,16.0,1.0,2.33883,48.85563
2024-1206926,18.10.2024,"690000,00",RUE DES LIONS SAINT PAUL,4,DÉPENDANCE,,0.0,2.36176,48.85299
2024-1201646,24/06/2024,"133300,00",RUE DU TERRAGE,10,Appartement ,12.0,1.0,2.36233,48.87731
2024-1221602,25/07/2024,"4780000,00",AV DE LAMBALLE,16, Appartement,70.0,2.0,2.28046,48.85431
2024-1222610,30/08/2024,"1700000,00",RUE SAINT DIDIER,16,APPARTEMENT,140.0,6.0,2.2857,48.86658
2024-1196962,29/03/2024,"240000,00",RUE PIAT,20,Appartement ,23.0,1.0,2.38505,48.87215
2024-1221336,19.07.2024,"405000,00",RUE DES BOULANGERS,5,Dépendance ,,0.0,2.35316,48.84603
2024-1223694,17/09/2024,"950490,00",RUE DE LA TOMBE ISSOIRE,14,Appartement ,90.0,4.0,2.33596,48.83232
2024-1206578,08/10/2024,"1220000,00",RUE BEAUREPAIRE,10,APPARTEMENT,96.0,4.0,2.36451,48.87117
2024-1201206,21.06.2024,"533500,00",RUE DE LA CR DES NOUES,20,Appartement ,65.0,4.0,2.40183,48.86449
2024-1205873,27.09.2024,"330000,00",RUE DE MONTHOLON,9,Dépendance ,,0.0,2.34492,48.87642
2024-1215849,30/04/2024,"24000,00",AV PHILIPPE AUGUSTE,11,DÉPENDANCE,,0.0,2.39161,48.85411
2024-1195220,15/02/2024,"308000,00",RUE DULONG,17,Appartement ,37.0,2.0,2.31535,48.88573
2024-1215380,05/04/2024,"1530700,00",RUE JOSE MARIA DE HEREDIA,7,DÉPENDANCE,,0.0,2.30729,48.8478
2024-1215419,05/04/2024,"376812,00",IMP FRANCHEMONT,11,APPARTEMENT,46.0,2.0,2.38439,48.85345
2024-1227323,22.11.2024,"550000,00",RUE DE BOURGOGNE,7,Appartement,28.0,2.0,2.31826,48.85852
2024-1208194,04/11/2024,"2700000,00",RUE DE RICHELIEU,2,LOCAL INDUSTRIEL. COMMERCIAL OU ASSIMILÉ,155.0,0.0,2.34009,48.87133
2024-1206787,08.10.2024,"1300000,00",BD HAUSSMANN,8,DÉPENDANCE,,0.0,2.30921,48.87531
2024-1222625,31.07.2024,"830000,00",RUE D AUTEUIL,16,Appartement ,86.0,4.0,2.26091,48.84811
2024-1195515,19/02/2024,"142600,00",RUE TURGOT,9,Appartement,15.0,1.0,2.34559,48.88032
2024-1213145,06/03/2024,"107000,00",RUE DE LA TOMBE ISSOIRE,14,DÉPENDANCE,,0.0,2.33359,48.82854
2024-1213817,11/03/2024,"735000,00",RUE DESNOUETTES,15,Dépendance,,0.0,2.29157,48.83554
2024-1201322,13.06.2024,"620800,00",RUE ORDENER,18, Dépendance,,0.0,2.34764,48.89167
2024-1227906,19.12.2024,"195280,00",RUE SCIPION,5,Dépendance ,,0.0,2.35411,48.83838
2024-1221121,12/07/2024,"481300,00",RUE DU TAGE,13,APPARTEMENT,54.0,3.0,2.35799,48.82204
2024-1197817,19/04/2024,"215000,00",AV SECRETAN,19,Dépendance ,,0.0,2.37463,48.88091
2024-1225294,15/10/2024,"32000000,00",AV DES GOBELINS,13,APPARTEMENT,62.0,3.0,2.35218,48.83528
2024-1205388,23.09.2024,"36700,00",RUE DE NANCY,10,Dépendance ,,0.0,2.35909,48.87204
2024-1227764,05.12.2024,"613000,00",RUE PACHE,11, Dépendance,,0.0,2.38277,48.8589
2024-1193681,11/01/2024,"338000,00",RUE DARCET,17,Appartement ,50.0,3.0,2.32516,48.88394
2024-1194078,17/01/2024,"435000,00",RUE TURGOT,9,Appartement ,43.0,1.0,2.34586,48.88056
2024-1209301,16.12.2024,"635095,00",RUE VIVIENNE,2, Local industriel. commercial ou assimilé,44.0,0.0,2.34175,48.87072
2024-1200563,14.06.2024,"200000,00",BD DE LA VILLETTE,10,Appartement ,28.0,2.0,2.37291,48.87526
2024-1201701,01/07/2024,"478000,00",RUE DAMREMONT,18,DÉPENDANCE,,0.0,2.33756,48.8957
2024-1222498,29.08.2024,"305000,00 €",AV DU DOC ARNOLD NETTER,12,Dépendance,,0.0,2.4039,48.84193
2024-1195356,26/02/2024,"584244,60",RUE DU CAMBODGE,20,Dépendance ,,0.0,2.39849,48.86601
2024-1212584,16/02/2024,"40000,00 €",RUE PARENT DE ROSAN,16,Dépendance,,0.0,2.25879,48.84044
2024-1223260,29/08/2024,"966000,00",RUE SANTERRE,12,Appartement ,120.0,5.0,2.39968,48.8427
2024-1194453,23/01/2024,"150000,00",RUE DES TOURNELLES,3,APPARTEMENT,16.0,1.0,2.36694,48.85826
2024-1215962,09/04/2024,"286700,00 €",RUE LECOURBE,15,Dépendance ,,0.0,2.30609,48.84313
2024-1197741,28/03/2024,"500000,00",RUE DE TURENNE,3,Dépendance ,,0.0,2.36424,48.85986
2024-1224791,07/10/2024,"320000,00",RUE DE FLEURUS,6,DÉPENDANCE,,0.0,2.32956,48.84687
2024-1215448,22.04.2024,"1001910,00",RUE FELIX FAURE,15, Appartement,116.0,5.0,2.28499,48.83882
2024-1204918,17/09/2024,"200000,00 €",RUE CONDORCET,9, Dépendance,,0.0,2.34446,48.87978
2024-1217821,24/05/2024,"296000,00 €",BD SAINT JACQUES,14,Appartement ,38.0,2.0,2.33991,48.83294
2024-1193958,11/01/2024,"725000,00",RUE DU FBG ST MARTIN,10,Appartement ,33.0,1.0,2.35822,48.87302
