client_id,ca,ncmd,nprod,anc,pays
12347,4310.0,7,103,403,Autre
12348,1797.24,4,22,667,Finlande
12352,2506.04,8,59,558,Norvege
12353,89.0,1,4,380,Autre
12358,1168.06,2,13,323,Autriche
12360,2662.06,3,105,543,Autriche
12361,189.9,1,10,322,Belgique
12362,5226.23,10,201,574,Belgique
12370,3545.69,4,143,441,Chypre
12371,1887.96,2,63,97,Suisse
12373,364.6,1,14,522,Autriche
12374,742.93,1,33,415,Autriche
12377,1628.12,2,72,648,Suisse
12378,4008.62,1,219,433,Suisse
12380,2724.81,4,77,472,Belgique
12384,585.27,2,26,435,Suisse
12388,2780.66,6,57,531,Australie
12390,549.84,1,32,131,Belgique
12395,3018.63,12,91,707,Belgique
12397,2409.9,2,110,315,Belgique
12398,1635.66,1,85,245,Suisse
12399,1108.65,4,47,409,Belgique
12401,84.3,1,5,376,Belgique
12402,225.6,1,11,693,Belgique
12403,427.7,1,5,361,Danemark
12405,1710.39,1,54,405,Finlande
12407,1708.12,5,57,425,Belgique
12409,11072.67,3,91,511,Suisse
12413,758.1,3,29,555,France
12414,562.41,3,16,487,Autriche
12417,3649.1,9,158,537,Belgique
12418,668.58,1,34,203,Suisse
12420,600.39,1,29,100,Chypre
12421,807.04,4,32,541,Espagne
12422,803.56,3,39,679,Australie
12423,1859.31,8,97,379,Belgique
12425,777.2,1,36,421,Portugal
12426,582.73,1,30,525,Allemagne
12427,825.8,3,26,482,Allemagne
12429,3750.4,4,82,618,Danemark
12430,256.4,1,11,109,Norvege
12435,7829.89,2,31,570,Danemark
12437,4951.41,18,118,611,France
12438,2906.85,2,84,282,Norvege
12442,172.06,1,12,31,Espagne
12445,133.4,1,4,410,Espagne
12447,476.49,1,26,421,Belgique
12449,4067.29,4,118,544,Belgique
12450,197.88,2,7,444,Espagne
12451,9035.52,5,265,635,Suisse
12454,3528.34,1,15,360,Espagne
12455,2466.86,6,85,374,Chypre
12456,3181.04,3,105,400,Suisse
12457,2363.23,7,53,426,Suisse
12458,947.4,2,35,483,Suisse
12461,826.88,2,35,172,Suisse
12463,1344.78,4,65,460,Belgique
12465,742.19,2,46,231,Belgique
12471,19824.05,30,150,661,Allemagne
12473,3938.55,5,140,464,Allemagne
12474,7375.79,18,253,698,Allemagne
12475,723.38,1,36,351,Allemagne
12476,6816.42,11,177,508,Allemagne
12477,13219.74,6,191,688,Allemagne
12479,527.2,1,31,175,Allemagne
12483,2484.98,8,46,470,Suede
12484,4541.72,6,256,698,Espagne
12488,1298.66,3,46,223,France
12490,5417.93,10,131,360,France
12494,1246.1,7,63,553,France
12498,403.7,3,21,375,Allemagne
12500,4257.82,11,34,409,Allemagne
12501,2169.39,1,149,521,Allemagne
12504,482.05,2,6,82,Allemagne
12507,1304.81,3,19,572,Espagne
12509,176.5,1,7,474,France
12510,982.57,2,29,457,Espagne
12512,138.03,2,31,157,Autre
12514,1017.68,1,51,493,Italie
12516,1312.06,2,20,448,Allemagne
12517,2502.84,5,232,566,Allemagne
12518,2056.89,5,84,285,Allemagne
12519,340.84,1,17,128,Allemagne
12520,2634.26,5,121,606,Allemagne
12521,599.68,1,38,394,Allemagne
12523,1789.77,11,84,611,France
12528,1933.48,6,50,351,Allemagne
12530,1662.28,4,51,461,Allemagne
12531,125.22,1,17,321,Allemagne
12532,349.83,1,16,363,France
12536,12601.83,3,260,233,France
12539,5568.35,4,157,655,Espagne
12540,13400.24,17,277,697,Espagne
12541,981.18,3,46,435,Espagne
12546,1161.5,2,59,436,Espagne
12547,207.8,2,7,396,Espagne
12548,95.2,1,5,262,Espagne
12551,168.0,1,10,630,Espagne
12553,3692.28,10,95,584,France
12556,603.71,2,100,207,Espagne
12559,561.71,2,21,652,Allemagne
12560,2134.01,3,91,223,Allemagne
12565,145.92,1,9,610,Autre
12569,4124.69,32,92,255,Allemagne
12571,519.61,2,31,439,France
12572,1020.42,2,53,365,Allemagne
12574,218.45,1,11,627,France
12576,1315.83,5,72,570,Pologne
12578,2794.51,2,111,519,Italie
12579,440.42,1,29,360,France
12583,7281.38,15,115,484,France
12586,196.94,1,11,329,Italie
12587,144.0,1,4,229,Finlande
12588,214.9,1,10,223,Finlande
12590,9864.26,2,68,413,Allemagne
12592,437.6,2,11,440,Allemagne
12593,418.1,3,14,233,France
12594,3338.22,10,50,378,Italie
12597,3811.22,4,184,366,Espagne
12598,3023.08,8,84,330,France
12600,2599.04,10,32,547,Allemagne
12602,153.12,1,12,325,France
12612,704.04,1,19,336,Allemagne
12614,315.6,1,20,465,Allemagne
12615,2291.19,4,82,510,France
12618,177.31,1,11,247,Italie
12619,3641.24,9,50,285,Allemagne
12620,1339.41,3,89,510,France
12622,180.1,1,11,462,Allemagne
12624,641.13,2,36,431,France
12626,6620.48,9,232,552,Allemagne
12627,4478.53,7,162,361,Allemagne
12631,640.5,1,31,94,Finlande
12633,2163.98,4,73,511,Allemagne
12635,1689.18,2,96,472,Allemagne
12637,6021.9,8,205,445,France
12639,486.1,1,22,479,Suede
12640,1174.58,3,47,94,France
12643,3344.64,6,11,471,France
12644,477.91,1,31,304,Allemagne
12645,1775.18,4,58,709,Allemagne
12649,623.51,3,28,298,Allemagne
12650,314.44,1,20,114,France
12652,919.98,1,48,495,France
12654,601.98,5,31,692,Allemagne
12656,4051.17,5,89,574,France
12657,1643.18,4,35,92,France
12660,245.1,1,13,105,France
12667,620.13,1,33,386,Finlande
12668,3807.15,4,115,379,Allemagne
12669,2744.03,3,98,598,France
12672,225.9,1,10,442,France
12673,610.52,2,42,693,Allemagne
12674,1970.6,4,52,325,France
12678,17628.46,12,105,527,France
12679,1113.02,4,43,548,France
12680,880.81,4,33,164,France
12681,13787.54,22,267,590,France
12683,8476.57,15,177,567,France
12685,2863.08,6,117,406,France
12686,89.14,1,7,769,France
12688,4873.81,1,171,379,Autre
12690,389.01,1,16,369,France
12691,1035.8,6,21,520,France
12694,869.67,2,32,350,France
12695,582.1,4,23,535,France
12701,797.71,2,50,371,Allemagne
