client_id,recence,freq,montant,pays
12347,1,7,4310.0,Autre
12348,74,4,1797.24,Finlande
12352,35,8,2506.04,Norvege
12353,203,1,89.0,Autre
12358,1,2,1168.06,Autriche
12360,51,3,2662.06,Autriche
12361,286,1,189.9,Belgique
12362,2,10,5226.23,Belgique
12370,50,4,3545.69,Chypre
12371,44,2,1887.96,Suisse
12373,310,1,364.6,Autriche
12374,24,1,742.93,Autriche
12377,314,2,1628.12,Suisse
12378,129,1,4008.62,Suisse
12380,21,4,2724.81,Belgique
12384,28,2,585.27,Suisse
12388,15,6,2780.66,Australie
12390,79,1,549.84,Belgique
12395,18,12,3018.63,Belgique
12397,35,2,2409.9,Belgique
12398,45,1,1635.66,Suisse
12399,118,4,1108.65,Belgique
12401,302,1,84.3,Belgique
12402,322,1,225.6,Belgique
12403,49,1,427.7,Danemark
12405,148,1,1710.39,Finlande
12407,49,5,1708.12,Belgique
12409,78,3,11072.67,Suisse
12413,66,3,758.1,France
12414,216,3,562.41,Autriche
12417,2,9,3649.1,Belgique
12418,112,1,668.58,Suisse
12420,63,1,600.39,Chypre
12421,15,4,807.04,Espagne
12422,95,3,803.56,Australie
12423,0,8,1859.31,Belgique
12425,77,1,777.2,Portugal
12426,194,1,582.73,Allemagne
12427,21,3,825.8,Allemagne
12429,8,4,3750.4,Danemark
12430,42,1,256.4,Norvege
12435,79,2,7829.89,Danemark
12437,1,18,4951.41,France
12438,13,2,2906.85,Norvege
12442,2,1,172.06,Espagne
12445,21,1,133.4,Espagne
12447,242,1,476.49,Belgique
12449,21,4,4067.29,Belgique
12450,155,2,197.88,Espagne
12451,10,5,9035.52,Suisse
12454,55,1,3528.34,Espagne
12455,72,6,2466.86,Chypre
12456,43,3,3181.04,Suisse
12457,65,7,2363.23,Suisse
12458,70,2,947.4,Suisse
12461,93,2,826.88,Suisse
12463,52,4,1344.78,Belgique
12465,16,2,742.19,Belgique
12471,1,30,19824.05,Allemagne
12473,28,5,3938.55,Allemagne
12474,16,18,7375.79,Allemagne
12475,53,1,723.38,Allemagne
12476,15,11,6816.42,Allemagne
12477,22,6,13219.74,Allemagne
12479,10,1,527.2,Allemagne
12483,16,8,2484.98,Suede
12484,32,6,4541.72,Espagne
12488,9,3,1298.66,France
12490,4,10,5417.93,France
