cmd_id,date,jour,ca,nart,qte,pays,client_id
536370,2010-12-01 08:45,mercredi,855.86,20,449,France,12583
536526,2010-12-01 12:58,mercredi,301.24,9,94,Royaume-Uni,14001
536529,2010-12-01 13:20,mercredi,161.0,9,38,Royaume-Uni,14237
536540,2010-12-01 14:05,mercredi,540.38,20,231,Irlande,14911
536541,2010-12-01 14:05,mercredi,15.0,1,12,Irlande,14911
536562,2010-12-01 15:08,mercredi,308.65,18,99,Royaume-Uni,13468
536564,2010-12-01 15:08,mercredi,51.4,2,12,Royaume-Uni,13468
536582,2010-12-01 16:21,mercredi,304.04,17,184,Royaume-Uni,12947
536617,2010-12-02 10:17,jeudi,1095.12,11,644,Royaume-Uni,13941
536698,2010-12-02 12:28,jeudi,326.0,16,144,Royaume-Uni,15363
536747,2010-12-02 13:44,jeudi,100.2,12,75,Royaume-Uni,17802
536803,2010-12-02 16:33,jeudi,22.5,1,6,Irlande,14911
536838,2010-12-02 18:23,jeudi,37.2,3,96,Royaume-Uni,14865
536839,2010-12-02 18:25,jeudi,623.73,16,879,Royaume-Uni,15093
536844,2010-12-02 18:49,jeudi,189.3,3,38,Royaume-Uni,14236
536852,2010-12-03 09:51,vendredi,89.14,7,107,France,12686
536858,2010-12-03 10:36,vendredi,303.4,6,110,Suisse,13520
536860,2010-12-03 10:43,vendredi,254.4,10,108,Royaume-Uni,16905
536861,2010-12-03 10:44,vendredi,303.5,10,79,Allemagne,12427
536890,2010-12-03 11:48,vendredi,322.2,3,1548,Irlande,14156
536943,2010-12-03 12:11,vendredi,187.51,28,170,Royaume-Uni,17884
536967,2010-12-03 12:57,vendredi,76.5,2,31,Allemagne,12600
536975,2010-12-03 14:04,vendredi,1705.65,71,827,Irlande,14911
536990,2010-12-03 15:14,vendredi,131.8,7,65,Portugal,12793
537026,2010-12-03 16:35,vendredi,346.1,12,528,Belgique,12395
537030,2010-12-03 16:44,vendredi,246.3,13,142,Royaume-Uni,16455
537031,2010-12-03 16:45,vendredi,135.0,6,108,Royaume-Uni,16455
537081,2010-12-05 12:00,dimanche,1145.06,25,442,Autre,15332
537086,2010-12-05 12:01,dimanche,438.0,8,168,Autre,15332
537090,2010-12-05 12:02,dimanche,15.0,1,12,Autre,15332
537133,2010-12-05 12:29,dimanche,206.23,55,73,Royaume-Uni,18156
537335,2010-12-06 12:15,lundi,98.7,23,32,Royaume-Uni,15048
537368,2010-12-06 12:40,lundi,377.5,15,135,Irlande,14911
537378,2010-12-06 13:06,lundi,784.15,20,476,Irlande,14911
537386,2010-12-06 13:32,lundi,20.85,1,3,Irlande,14911
537387,2010-12-06 13:34,lundi,222.18,14,84,Royaume-Uni,13468
537418,2010-12-06 15:13,lundi,137.11,36,66,Royaume-Uni,17884
537433,2010-12-06 16:36,lundi,417.62,4,146,Royaume-Uni,12913
537463,2010-12-07 10:08,mardi,1033.52,41,585,France,12681
537626,2010-12-07 14:57,mardi,711.79,31,319,Autre,12347
537674,2010-12-08 09:51,mercredi,319.18,19,250,Royaume-Uni,15628
537793,2010-12-08 12:57,mercredi,2746.75,29,1655,Royaume-Uni,15032
537810,2010-12-08 13:30,mercredi,23.85,1,3,Royaume-Uni,15032
537815,2010-12-08 13:49,mercredi,300.7,15,158,Royaume-Uni,17676
537818,2010-12-08 13:53,mercredi,1149.29,53,424,Portugal,12766
537827,2010-12-08 14:43,mercredi,63.0,1,30,Autre,15332
537831,2010-12-08 14:50,mercredi,106.77,11,39,Royaume-Uni,17894
537833,2010-12-08 14:53,mercredi,590.0,1,200,Royaume-Uni,13270
537855,2010-12-08 15:59,mercredi,263.25,32,95,Royaume-Uni,15996
537897,2010-12-09 10:37,jeudi,213.88,13,107,France,12683
537915,2010-12-09 10:55,jeudi,254.03,13,118,Portugal,12797
537967,2010-12-09 11:31,jeudi,57.6,3,9,France,12494
538003,2010-12-09 12:05,jeudi,1281.5,20,454,Danemark,12429
538008,2010-12-09 12:17,jeudi,849.2,41,557,France,12683
538009,2010-12-09 12:17,jeudi,945.55,32,287,Irlande,14911
538011,2010-12-09 12:24,jeudi,257.22,32,184,Royaume-Uni,14896
538040,2010-12-09 13:08,jeudi,325.76,60,217,Royaume-Uni,16520
538053,2010-12-09 13:34,jeudi,1571.32,30,675,Royaume-Uni,15856
538087,2010-12-09 14:44,jeudi,60.0,4,16,Royaume-Uni,17339
538095,2010-12-09 14:55,jeudi,174.72,40,67,Espagne,17097
538097,2010-12-09 14:56,jeudi,315.0,15,196,Royaume-Uni,15192
538145,2010-12-09 16:08,jeudi,383.07,23,117,Royaume-Uni,15211
538170,2010-12-09 19:32,jeudi,317.59,25,133,Royaume-Uni,13969
538174,2010-12-10 09:35,vendredi,1982.41,47,1075,Allemagne,12471
538175,2010-12-10 09:48,vendredi,378.0,1,21,Allemagne,12471
538255,2010-12-10 12:33,vendredi,1156.05,51,379,Irlande,14911
538279,2010-12-10 12:48,vendredi,686.16,7,472,Royaume-Uni,14952
