prod_id,nb_cmd,qte,ca,prix,pays,clients,part_q4
15036,37,2112,1555.2,0.81,5,20,0.076
15044A,10,51,150.45,2.95,2,6,0.255
15056BL,41,287,1647.65,5.93,10,21,0.383
15056N,42,393,2218.35,5.9,8,22,0.333
15056P,24,220,1189.0,5.87,6,13,0.135
15058A,10,34,258.3,7.83,5,9,0.031
15058B,10,28,210.6,7.83,5,9,0.0
15060B,18,84,315.0,3.75,6,11,0.143
16045,11,2000,80.0,0.04,3,8,0.3
16156S,16,425,178.5,0.42,6,11,0.353
16161P,32,950,399.0,0.42,10,27,0.316
16161U,19,525,220.5,0.42,8,14,0.286
16169E,18,475,199.5,0.42,7,16,0.842
16235,12,722,151.62,0.21,4,12,0.169
16236,10,226,47.46,0.21,6,8,0.257
16237,21,591,124.11,0.21,5,13,0.162
17003,12,540,161.64,0.3,4,10,0.22
20665,16,97,286.15,2.95,5,15,0.062
20668,14,637,76.44,0.12,3,11,0.887
20674,21,227,283.75,1.25,8,19,0.181
20675,26,332,401.32,1.24,8,23,0.069
20676,48,614,753.82,1.25,10,32,0.192
20677,25,272,340.0,1.25,8,21,0.228
20679,37,344,1986.8,5.92,8,16,0.374
20681,10,63,204.75,3.25,5,9,0.286
20682,43,300,975.0,3.25,7,31,0.45
20685,79,427,3080.55,7.74,10,48,0.278
20711,25,394,730.92,2.04,7,18,0.342
20712,82,1185,2321.2,2.04,13,46,0.296
20713,34,683,1251.46,2.02,13,26,0.342
20717,24,381,457.25,1.24,10,19,0.26
20718,38,452,565.0,1.25,12,29,0.232
20719,108,1865,1520.25,0.84,12,56,0.212
20723,58,792,647.2,0.85,11,37,0.135
20724,128,2157,1755.45,0.84,13,65,0.225
20725,169,2997,4745.05,1.64,12,82,0.181
20726,109,1428,2316.2,1.65,12,56,0.12
20727,88,781,1288.65,1.65,8,43,0.311
20728,101,1232,2012.8,1.65,13,55,0.172
20749,54,160,1233.6,7.89,13,39,0.329
20750,91,475,3430.65,7.77,14,57,0.32
20751,21,207,434.7,2.1,6,14,0.246
20752,14,72,151.2,2.1,5,11,0.444
20754,32,466,860.52,2.05,6,20,0.093
20828,24,187,455.25,2.53,3,13,0.202
20829,17,128,268.8,2.1,3,9,0.227
20846,11,158,197.5,1.25,2,5,0.506
20914,82,1552,4264.8,2.88,9,35,0.238
20961,11,97,121.25,1.25,6,8,0.443
20963,13,132,165.0,1.25,7,11,0.303
20969,26,143,523.29,3.74,5,16,0.337
20970,24,126,459.54,3.74,5,12,0.351
20971,53,532,665.0,1.25,8,35,0.318
20972,49,551,688.75,1.25,7,33,0.343
20973,23,360,234.0,0.65,6,16,0.636
20974,24,707,459.55,0.65,7,17,0.141
20975,25,1257,817.05,0.65,6,22,0.187
20977,32,517,646.25,1.25,10,25,0.031
20978,22,270,337.5,1.25,6,18,0.47
20979,43,940,1126.36,1.24,9,32,0.195
20981,28,301,255.85,0.85,10,21,0.286
20982,14,114,96.9,0.85,5,12,0.386
20983,27,479,407.15,0.85,8,21,0.167
20984,21,363,114.79,0.39,7,17,0.182
20992,17,375,183.53,0.51,5,13,0.17
21034,62,156,148.2,0.95,3,38,0.41
21035,31,666,1899.5,3.13,7,21,0.129
21039,18,158,402.9,2.55,5,17,0.272
21041,14,117,345.15,2.95,4,10,0.137
21042,23,79,470.05,5.95,8,18,0.177
21055,15,41,366.95,8.95,9,12,0.366
21058,21,260,221.0,0.85,7,19,0.158
21059,12,129,109.65,0.85,8,11,0.093
21062,13,147,124.95,0.85,7,12,0.082
21063,11,120,102.0,0.85,5,8,0.133
21078,21,371,302.87,0.84,7,17,0.138
21080,119,2111,1721.15,0.84,14,76,0.216
21084,14,256,65.2,0.29,6,13,0.096
21086,70,1459,948.35,0.65,11,45,0.173
21088,12,228,59.88,0.3,4,11,0.152
21090,16,213,99.63,0.48,6,14,0.082
21094,72,1420,1141.48,0.84,11,48,0.172
21096,11,112,54.72,0.47,4,10,0.086
21098,12,145,181.25,1.25,4,9,0.345
21108,30,432,531.36,1.44,9,22,0.654
21110,11,82,323.1,5.88,7,9,0.563
21114,18,190,237.5,1.25,8,13,0.289
21116,12,44,217.8,4.95,4,8,0.318
21121,54,1298,1622.5,1.25,11,37,0.249
21122,40,889,1111.25,1.25,7,23,0.276
21123,11,154,192.5,1.25,3,7,0.357
21124,37,813,1016.25,1.25,9,26,0.325
21125,23,303,378.75,1.25,8,18,0.333
21126,15,149,186.25,1.25,8,12,0.107
21135,20,173,292.37,1.69,7,14,0.486
21136,31,398,672.62,1.69,5,22,0.53
21137,24,334,1166.1,3.66,5,12,0.388
21154,41,792,914.0,1.24,8,31,0.164
21155,39,378,922.5,2.48,6,22,0.326
21156,52,399,778.05,1.95,12,38,0.298
21162,10,109,74.31,0.92,3,8,0.252
21164,40,641,1746.95,2.91,8,25,0.203
21165,45,1273,1955.53,1.65,10,29,0.191
21166,60,1590,3058.34,2.04,5,26,0.129
21169,38,1444,2175.4,1.65,6,19,0.121
21172,39,430,623.5,1.45,8,28,0.43
21174,18,145,301.6,2.08,3,14,0.097
21175,62,669,1659.54,2.51,9,33,0.423
21179,14,176,128.84,0.76,3,11,0.116
21181,66,1118,2227.8,2.09,5,34,0.325
21207,16,145,239.25,1.65,7,16,0.455
21208,12,162,138.78,0.81,5,10,0.185
21209,11,294,172.5,0.64,7,9,0.231
21210,68,1553,2232.65,1.45,12,43,0.525
21211,12,370,536.5,1.45,6,12,0.859
21212,167,6043,3148.93,0.54,14,107,0.291
21213,54,1467,769.41,0.54,10,36,0.25
21216,42,480,2157.6,4.83,10,26,0.173
21217,39,204,1909.8,9.82,9,25,0.228
21218,36,597,2034.75,3.66,8,20,0.198
21224,15,181,226.25,1.25,3,9,0.337
21231,37,568,682.64,1.24,6,23,0.456
21232,80,1670,1978.06,1.23,11,39,0.391
21238,45,413,351.05,0.85,9,30,0.145
21239,21,192,163.2,0.85,8,20,0.146
21240,27,244,207.4,0.85,8,21,0.197
21242,36,358,605.02,1.69,11,27,0.179
21243,16,175,295.75,1.69,7,15,0.229
21244,18,163,275.47,1.69,7,16,0.0
21245,16,163,275.47,1.69,8,13,0.344
21249,32,276,790.2,2.92,11,27,0.19
21251,12,71,209.45,2.95,7,11,0.197
21257,14,37,294.15,7.95,5,6,0.703
21258,10,22,266.1,12.57,4,7,0.76
21259,25,121,647.95,5.83,4,12,0.33
21260,14,249,761.25,3.21,6,12,0.0
21314,16,149,312.9,2.1,6,14,0.43
21326,10,412,248.6,0.64,5,10,0.613
21328,20,162,267.3,1.65,7,17,0.228
21329,13,89,146.85,1.65,5,11,0.18
21340,27,133,1401.75,11.61,5,17,0.13
21354,10,122,152.5,1.25,5,9,0.41
21355,11,114,142.5,1.25,8,10,0.237
21380,30,377,1035.35,2.92,11,21,0.251
21381,19,884,1355.72,1.68,7,12,0.133
